CC32;Pulp, Paper and Converted Paper Product Manufacturing
CC321;Pulp, Paper and Converted Paper Product Manufacturing
GH134;Pharmaceutical and Other Store Based Retailing
GH11;Motor Vehicle and Motor Vehicle Parts and Fuel Retailing
EE13;Construction Services
JJ11;Information Media Services
II131;Postal and Courier Pick Up and Delivery Services
PP;Education and Training
DD12;Water, Sewerage, Drainage and Waste Services
RS214;Civil, Professional and Other Interest Groups
RS111;Heritage and Artistic Activities
LL112;Non-Financial Asset Leasing
EE11;Building Construction
MN111;Scientific, Architectural and Engineering Services
FF115;Other Goods Wholesaling
GH12;Supermarket, Grocery Stores and Specialised Food Retailing
CC822;Machinery Manufacturing
GH134;Pharmaceutical and Other Store Based Retailing
MN211;Travel Agency and Tour Arrangement Services
MN;Professional, Scientific, Technical, Administrative and Support Services
MN211;Travel Agency and Tour Arrangement Services
CC212;Clothing, Knitted Products and Footwear Manufacturing
FF112;Machinery and Equipment Wholesaling
MN114;Veterinary and Other Professional Services
LL122;Non-Residential Property Operation
CC822;Machinery Manufacturing
AA121;Sheep, Beef Cattle and Grain Farming
GH12;Supermarket, Grocery Stores and Specialised Food Retailing
CC21;Textile, Leather, Clothing and Footwear Manufacturing
CC523;Pharmaceutical, Cleaning and Other Chemical Manufacturing
II;Transport, Postal and Warehousing
FF111;Basic Material Wholesaling
EE12;Heavy and Civil Engineering Construction
LL122;Non-Residential Property Operation
CC912;Other Manufacturing
II12;Rail, Water, Air and Other Transport
CC521;Basic Chemical and Basic Polymer Manufacturing
LL122;Non-Residential Property Operation
EE11;Building Construction
OO213;Public Order, Safety and Regulatory Services
II131;Postal and Courier Pick Up and Delivery Services
CC151;Beverage and Tobacco Product Manufacturing
II132;Transport Support Services
CC721;Fabricated Metal Product Manufacturing
ZZ11;Food Product Manufacturing
CC411;Printing
FF111;Basic Material Wholesaling
BB;Mining
PP114;Adult, Community and Other Education
CC611;Non-Metallic Mineral Product Manufacturing
LL12;Property Operators and Real Estate Services
MN213;Building Cleaning, Pest Control and Other Support Services
CC811;Transport Equipment Manufacturing
JJ11;Information Media Services
CC;Manufacturing
KK13;Auxiliary Finance and Insurance Services
PP114;Adult, Community and Other Education
CC151;Beverage and Tobacco Product Manufacturing
CC531;Polymer Product and Rubber Product Manufacturing
CC523;Pharmaceutical, Cleaning and Other Chemical Manufacturing
LL11;Rental and Hiring Services (except Real Estate)
CC15;Beverage and Tobacco Product Manufacturing
CC521;Basic Chemical and Basic Polymer Manufacturing
RS112;Sport and Recreation Activities
AA31;Fishing and Aquaculture
